RepRapFirmware height map file v2 generated at 2020-10-19 17:59
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
10.00,280.00,10.00,300.00,-1.00,90.00,96.67,4,4
  0.016,  0.040,  0.021,  0.131
  0.023,  0.095,  0.071,  0.106
  0.048,  0.072, -0.006,  0.071
  0.096,  0.201,  0.239,  0.331
